OBJECTID,ORIG_FID,Shape_Length,Z,Longitude,Latitude
376,18,0,269.9978518,-116.0223661,32.72107793
377,18,0,269.9873273,-116.0223913,32.72097699
378,18,0,270.0012112,-116.0224863,32.72092925
379,18,0,269.9974174,-116.0225841,32.72088611
380,18,0,269.9976986,-116.0226814,32.72084236
381,18,0,270.002098,-116.0227805,32.72080417
382,18,0,269.9686923,-116.0228821,32.72077212
383,18,0,269.9780808,-116.0229872,32.72075398
384,18,0,269.9914395,-116.0230911,32.72072993
385,18,0,270.0336463,-116.0231816,32.7206742
386,18,0,269.9856716,-116.0232486,32.72059361
387,18,0,269.9981862,-116.0233252,32.7205242
388,18,0,269.9908642,-116.023382,32.72044428
389,18,0,270.0050856,-116.0233531,32.72041006
390,18,0,270.0136874,-116.0232468,32.72040388
391,18,0,269.9849417,-116.0231426,32.72039071
392,18,0,270.0002576,-116.0230551,32.72033177
393,18,0,270.0162655,-116.0229805,32.72025582
394,18,0,269.9974444,-116.022913,32.72017459
395,18,0,269.9657433,-116.0229473,32.72009754
396,18,0,269.9847923,-116.0229703,32.72000328
397,18,0,269.9948087,-116.0229398,32.71990113
398,18,0,270.0222289,-116.0228918,32.71980724
399,18,0,270.0172569,-116.0228059,32.71974645
400,18,0,269.9964106,-116.0227061,32.71970874
401,18,0,270.0027329,-116.0226086,32.71966584
402,18,0,269.9951203,-116.0225052,32.7196397
403,18,0,269.997466,-116.022399,32.71963102
404,18,0,270.0042989,-116.0222927,32.7196218
405,18,0,270.0020027,-116.0221861,32.71962127
406,18,0,270.003119,-116.0220814,32.71964243
407,18,0,270.0030887,-116.0219856,32.71968699
408,18,0,269.9854389,-116.0218817,32.71971011
409,18,0,269.9625344,-116.0217755,32.71970173
410,18,0,269.9900933,-116.0217245,32.71964551
411,18,0,269.983857,-116.021779,32.71955696
412,18,0,269.9949454,-116.0218711,32.71950338
413,18,0,270.0042016,-116.0219704,32.71946505
414,18,0,269.9943458,-116.0220689,32.71942366
415,18,0,270.0047924,-116.0221621,32.71937153
416,18,0,269.9985437,-116.0222481,32.71930824
417,18,0,269.9923624,-116.0223267,32.71923614
418,18,0,269.9999073,-116.0224077,32.71916841
419,18,0,270.0024272,-116.0225066,32.71913267
420,18,0,270.0188202,-116.0226103,32.71914565
421,18,0,270.0005185,-116.0227152,32.71916608
422,18,0,270.0000215,-116.0228213,32.7191583
423,18,0,270.0037263,-116.0229272,32.71914361
424,18,0,269.9995894,-116.0230311,32.71911929
425,18,0,269.9978585,-116.0231313,32.71908224
426,18,0,269.987362,-116.0232313,32.71904646
427,18,0,270.0070441,-116.0233375,32.71904048
428,18,0,270.00252,-116.0234439,32.71903483
429,18,0,269.9740322,-116.0234163,32.71900498
430,18,0,269.9824875,-116.0233555,32.71892979
431,18,0,269.9996442,-116.023287,32.71884983
432,18,0,269.9981422,-116.0233484,32.71877331
433,18,0,269.9937207,-116.0234139,32.71868956
434,18,0,269.9976595,-116.02348,32.71860555
435,18,0,270.0033523,-116.0235681,32.71854925
436,18,0,270.0000174,-116.0236731,32.71852951
437,18,0,270.0000357,-116.0237794,32.71851871
438,18,0,270.0006604,-116.023886,32.71851866
439,18,0,269.9034896,-116.0239875,32.71853904
440,18,0,270.2636946,-116.0240917,32.71853444
441,18,0,269.9779922,-116.0241919,32.71850642
