OBJECTID,ORIG_FID,Shape_Length,Shape_Area,Longitude,Latitude
251,1,0,0,-116.0199709,32.72704618
252,1,0,0,-116.0197636,32.7269939
253,1,0,0,-116.0195563,32.72694163
254,1,0,0,-116.0193484,32.72689173
255,1,0,0,-116.0191391,32.72684825
256,1,0,0,-116.0189298,32.72680478
257,1,0,0,-116.0187204,32.7267613
258,1,0,0,-116.0185111,32.72671782
259,1,0,0,-116.0183018,32.72667435
260,1,0,0,-116.0180925,32.72663087
261,1,0,0,-116.0178829,32.72658869
262,1,0,0,-116.0176697,32.72657394
263,1,0,0,-116.0174564,32.72655919
264,1,0,0,-116.0172431,32.72654444
265,1,0,0,-116.0170298,32.72652969
266,1,0,0,-116.0168165,32.72651494
267,1,0,0,-116.0166032,32.72650019
268,1,0,0,-116.01639,32.72648543
269,1,0,0,-116.0161767,32.72647068
270,1,0,0,-116.0159635,32.72645475
271,1,0,0,-116.0157503,32.72643842
272,1,0,0,-116.0155371,32.7264221
273,1,0,0,-116.015324,32.72640578
274,1,0,0,-116.0151108,32.72638946
275,1,0,0,-116.0148976,32.72637314
276,1,0,0,-116.0146845,32.72635682
277,1,0,0,-116.0144713,32.7263405
278,1,0,0,-116.0142581,32.72632418
279,1,0,0,-116.014045,32.72630786
280,1,0,0,-116.0138318,32.72629154
281,1,0,0,-116.0136186,32.72627522
282,1,0,0,-116.0134055,32.7262589
283,1,0,0,-116.0131923,32.72624258
284,1,0,0,-116.0129791,32.72622626
285,1,0,0,-116.0127659,32.72621054
286,1,0,0,-116.0125527,32.72619495
287,1,0,0,-116.0123395,32.72617937
288,1,0,0,-116.0121262,32.72616379
289,1,0,0,-116.011913,32.72614821
290,1,0,0,-116.0116998,32.72613263
291,1,0,0,-116.0114866,32.72611705
292,1,0,0,-116.0112733,32.72610147
293,1,0,0,-116.0110601,32.72608589
294,1,0,0,-116.0108469,32.72607031
295,1,0,0,-116.0106337,32.72605473
296,1,0,0,-116.0104204,32.72603915
297,1,0,0,-116.0102072,32.72602357
298,1,0,0,-116.009994,32.72600799
299,1,0,0,-116.0097808,32.7259924
300,1,0,0,-116.0095675,32.72597682
301,1,0,0,-116.0093543,32.72596124
302,1,0,0,-116.0091411,32.72594566
303,1,0,0,-116.0089279,32.72592983
304,1,0,0,-116.0087147,32.72591326
305,1,0,0,-116.0085016,32.7258967
306,1,0,0,-116.0082884,32.72588013
307,1,0,0,-116.0080753,32.72586357
